"filename","id","refseq_species","ANI_species_group","fabv_detected","type_strain","total_contigs","total_length","N50","Completeness","Contamination","overall_quality","refseq_description"
"GCF_000172895.1_ASM17289v1_genomic.fna","NZ_ABSM01000122.1","pseudomonas_syringae","avellanae",0,0,112,6142583,150139,99.89,0.19,98.94,"Pseudomonas syringae pv. tomato T1 ptot1_ctg00100, whole genome shotgun sequence"
"GCF_000177475.1_ASM17747v1_genomic.fna","NZ_ADFZ01000349.1","pseudomonas_syringae","avellanae",0,0,269,6078170,64466,100,0.19,99.05,"Pseudomonas syringae pv. tomato Max13 contig_349, whole genome shotgun sequence"
"GCF_000177495.1_ASM17749v1_genomic.fna","NZ_ADGA01000304.1","pseudomonas_syringae","avellanae",0,0,278,6073007,47802,99.89,0.61,96.84,"Pseudomonas syringae pv. tomato NCPPB 1108 contig_304, whole genome shotgun sequence"
"GCF_000177515.1_ASM17751v1_genomic.fna","NZ_ADGB01000296.1","pseudomonas_syringae","congelans",0,0,260,5796856,46825,100,0.61,96.95,"Pseudomonas syringae pv. syringae 642 contig_296, whole genome shotgun sequence"
"GCF_000187045.1_ASM18704v2_genomic.fna","NZ_AEGG01000104.1","pseudomonas_savastanoi","amygdali_group",0,0,103,6236158,202511,100,0.1,99.5,"Pseudomonas savastanoi pv. glycinea str. B076 Contig104, whole genome shotgun sequence"
"GCF_000187065.1_ASM18706v2_genomic.fna","NZ_AEGH01000108.1","pseudomonas_savastanoi","amygdali_group",0,0,108,5905212,225100,99.36,0.08,98.96,"Pseudomonas savastanoi pv. glycinea str. race 4 Contig108, whole genome shotgun sequence"
"GCF_000194805.1_ASM19480v1_genomic.fna","NC_015379.1","pseudomonas_brassicacearum","brassicacearum_group",0,0,1,6843248,6843248,100,0.19,99.05,"Pseudomonas brassicacearum subsp. brassicacearum NFM421, complete sequence"
"GCF_000195105.1_ASM19510v1_genomic.fna","NC_017532.1","pseudomonas_stutzeri","stutzeri",0,0,1,4689946,4689946,99.68,0.79,95.73,"Pseudomonas stutzeri DSM 4166, complete sequence"
"GCF_000204295.1_ASM20429v1_genomic.fna","NC_015410.1","pseudomonas_mendocina","mendocina",0,0,1,5434353,5434353,99.84,0.11,99.29,"Pseudomonas mendocina NK-01, complete sequence"
"GCF_000215775.4_PA13_miseq_genomic.fna","NZ_AEVV03000024.1","pseudomonas_aeruginosa","aeruginosa",1,0,23,6529310,696624,99.68,0.16,98.88,"Pseudomonas aeruginosa HB13 strain 138244 contig000024, whole genome shotgun sequence"
"GCF_000215795.4_PA15_miseq_genomic.fna","NZ_AEVW03000020.1","pseudomonas_aeruginosa","aeruginosa",1,0,19,6637697,1386613,99.68,0.11,99.13,"Pseudomonas aeruginosa HB15 contig000020, whole genome shotgun sequence"
"GCF_000219605.1_ASM21960v1_genomic.fna","NC_015740.1","pseudomonas_stutzeri,","stutzeri",0,1,1,4547930,4547930,99.89,0.3,98.39,"Pseudomonas stutzeri, complete sequence"
"GCF_000222125.1_ASM22212v2_genomic.fna","NZ_AFFX01000025.1","pseudomonas_sp.","segetis",0,0,25,4796529,445158,99.18,0.31,97.63,"Pseudomonas sp. S9 Contig25, whole genome shotgun sequence"
"GCF_000223925.1_ASM22392v2_genomic.fna","NZ_AFXI01000002.1","pseudomonas_aeruginosa","aeruginosa",1,0,2,6849861,6801503,99.36,0.51,96.81,"Pseudomonas aeruginosa 9BR 9BRScaffold2, whole genome shotgun sequence"
"GCF_000223945.1_ASM22394v2_genomic.fna","NZ_AFXJ01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,1,6742964,6742964,99.68,0.86,95.38,"Pseudomonas aeruginosa 19BR chromosome, whole genome shotgun sequence"
"GCF_000223965.1_ASM22396v2_genomic.fna","NZ_AFXK01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,1,6719211,6719211,99.68,0.51,97.13,"Pseudomonas aeruginosa 213BR chromosome, whole genome shotgun sequence"
"GCF_000226155.1_ASM22615v1_genomic.fna","NC_017548.1","pseudomonas_aeruginosa","aeruginosa",1,0,1,6327754,6327754,99.52,0.08,99.12,"Pseudomonas aeruginosa M18, complete sequence"
"GCF_000233495.1_Pseudomonas_sp_2_1_26_V1_genomic.fna","NZ_JH376461.1","pseudomonas_aeruginosa","aeruginosa",1,0,51,6447478,709633,97.36,0.11,96.81,"Pseudomonas aeruginosa strain 2_1_26 supercont1.1, whole genome shotgun sequence"
"GCF_000236825.1_ASM23682v2_genomic.fna","NZ_AHBD01000053.1","pseudomonas_psychrotolerans","oryzihabitans_group",0,0,46,5098080,312035,98.6,0.51,96.05,"Pseudomonas psychrotolerans L19 contig00053, whole genome shotgun sequence"
"GCF_000237065.1_ASM23706v1_genomic.fna","NC_016830.1","pseudomonas_fluorescens","brassicacearum_group",0,0,1,6845832,6845832,100,1.15,94.25,"Pseudomonas fluorescens F113, complete sequence"
"GCF_000242115.1_Pext14-3B_1.0_genomic.fna","NZ_AHIP01000135.1","pseudomonas_extremaustralis","extremaustralis",1,0,113,6579074,135677,100,1.7,91.5,"Pseudomonas extremaustralis 14-3 substr. 14-3b strain 14-3 contig00135, whole genome shotgun sequence"
"GCF_000245395.1_ASM24539v1_genomic.fna","NZ_AGNN01000001.1","pseudomonas_syringae","avellanae",0,0,187,6645478,68895,90.68,0.45,88.43,"Pseudomonas syringae pv. theae NCPPB 2598 scf_12387_1_contig_1, whole genome shotgun sequence"
"GCF_000245475.1_ASM24547v1_genomic.fna","NZ_AGUH01000001.1","pseudomonas_syringae","avellanae",0,0,274,6175796,49010,99.26,0.19,98.31,"Pseudomonas syringae pv. actinidiae CH2010-6 scf_12384_1_contig_1, whole genome shotgun sequence"
"GCF_000247435.1_ASM24743v2_genomic.fna","NZ_AHKM01000140.1","pseudomonas_aeruginosa","aeruginosa",1,0,140,6260813,143328,99.68,0.1,99.18,"Pseudomonas aeruginosa MPAO1/P1 P1_contig_rep_c4254, whole genome shotgun sequence"
"GCF_000250615.1_ASM25061v1_genomic.fna","NZ_JH604622.1","pseudomonas_fragi","fragi",0,0,11,5020393,2851520,98.7,0.22,97.6,"Pseudomonas fragi B25 Scaffold1, whole genome shotgun sequence"
"GCF_000251185.1_ASM25118v1_genomic.fna","NZ_JH605124.1","pseudomonas_fuscovaginae","asplenii_group",1,0,90,6704814,205318,99.96,0.43,97.81,"Pseudomonas fuscovaginae UPB0736 isolate E124 scf_10724_1, whole genome shotgun sequence"
"GCF_000257545.3_ASM25754v3_genomic.fna","NZ_CP005960.1","pseudomonas_mandelii","mandelii",0,0,2,7188564,6778052,100,1.41,92.95,"Pseudomonas mandelii JR-1 chromosome, complete genome"
"GCF_000257625.1_ASM25762v1_genomic.fna","NZ_JH635997.1","pseudomonas_sp.","simiae",1,0,8,6225770,6215135,99.43,0.4,97.43,"Pseudomonas sp. R81 scaffold00001, whole genome shotgun sequence"
"GCF_000258285.1_ASM25828v1_genomic.fna","NZ_AJKG01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,113,6731504,220004,99.68,0.08,99.28,"Pseudomonas aeruginosa LCT-PA102 scaffold1_1, whole genome shotgun sequence"
"GCF_000259025.1_ASM25902v1_genomic.fna","NZ_AJHI01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,71,6683163,259452,98.83,0.54,96.13,"Pseudomonas aeruginosa PADK2_CF510 contig001, whole genome shotgun sequence"
"GCF_000259195.1_LF10417_PSEudwD_genomic.fna","NZ_JH650757.1","pseudomonas_donghuensis","donghuensis",1,1,64,5646028,188174,98.58,0.91,94.03,"Pseudomonas donghuensis strain HYS Scaffold1, whole genome shotgun sequence"
"GCF_000262005.1_ASM26200v1_genomic.fna","NZ_AHGZ01000001.1","pseudomonas_monteilii","monteilii",1,0,237,5751794,50586,99.6,0.43,97.45,"Pseudomonas monteilii QM contig001, whole genome shotgun sequence"
"GCF_000263695.1_ASM26369v2_genomic.fna","NZ_CM001512.1","pseudomonas_fluorescens","brassicacearum_group",0,0,1,6602611,6602611,100,0.08,99.6,"Pseudomonas fluorescens Q8r1-96 chromosome, whole genome shotgun sequence"
"GCF_000264555.1_ASM26455v1_genomic.fna","NZ_CM001490.1","pseudomonas_chlororaphis","chlororaphis",1,0,1,6980251,6980251,100,0.72,96.4,"Pseudomonas chlororaphis O6 chromosome, whole genome shotgun sequence"
"GCF_000265035.1_ASM26503v1_genomic.fna","NZ_AJXX01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,190,6442902,63052,99.68,0.08,99.28,"Pseudomonas aeruginosa XMG contig000001, whole genome shotgun sequence"
"GCF_000267545.1_ASM26754v1_genomic.fna","NC_018028.1","pseudomonas_stutzeri","chloritidismutans_group",0,0,1,4709064,4709064,99.2,0.11,98.65,"Pseudomonas stutzeri CCUG 29243, complete genome"
"GCF_000271365.1_ASM27136v1_genomic.fna","NC_018080.1","pseudomonas_aeruginosa","aeruginosa",1,0,1,6402658,6402658,99.68,0.08,99.28,"Pseudomonas aeruginosa DK2, complete sequence"
"GCF_000271985.2_ASM27198v2_genomic.fna","NZ_CP015877.1","pseudomonas_aeruginosa","aeruginosa",1,0,1,6243825,6243825,99.68,0.19,98.73,"Pseudomonas aeruginosa SJTD-1 chromosome, complete genome"
"GCF_000275945.1_ASM27594v1_genomic.fna","NZ_AJXI01000001.1","pseudomonas_amygdali","amygdali_group",0,0,178,6128275,64397,99.89,0.25,98.64,"Pseudomonas amygdali pv. tabaci str. 6605 contig00001_contig_1, whole genome shotgun sequence"
"GCF_000276565.1_ASM27656v1_genomic.fna","NZ_AJXG01000001.1","pseudomonas_tolaasii","tolaasii",1,0,202,6951437,85555,99.52,2.53,86.87,"Pseudomonas tolaasii PMS117 contig00001_contig_1, whole genome shotgun sequence"
"GCF_000280555.1_ASM28055v1_genomic.fna","NZ_AKYE01000001.1","pseudomonas_stutzeri","stutzeri",0,0,118,4680252,105529,99.89,0.46,97.59,"Pseudomonas stutzeri XLDN-R contig000001, whole genome shotgun sequence"
"GCF_000280575.1_ASM28057v1_genomic.fna","NZ_ALAQ01000001.1","pseudomonas_fuscovaginae","asplenii_group",1,0,248,6536098,44486,95.81,0.13,95.16,"Pseudomonas fuscovaginae CB98818 PseudomonasfuscovaginaeContig1, whole genome shotgun sequence"
"GCF_000280785.1_ASM28078v1_genomic.fna","NZ_AKBQ01000001.1","pseudomonas_agarici","agarici",1,0,89,5502558,158081,95.03,0.84,90.83,"Pseudomonas agarici NCPPB 2289 scf_16369_1_contig_1, whole genome shotgun sequence"
"GCF_000281915.1_ASM28191v1_genomic.fna","NZ_CM001559.1","pseudomonas_chlororaphis","chlororaphis",1,0,1,6666321,6666321,100,0.43,97.85,"Pseudomonas chlororaphis subsp. aureofaciens 30-84 chromosome, whole genome shotgun sequence"
"GCF_000282175.1_Pseudomonas.strGM17_v1.0_genomic.fna","NZ_AKJU01000001.1","pseudomonas_sp.","chlororaphis",1,0,278,6786282,44590,99.82,0.82,95.72,"Pseudomonas sp. GM17 PMI20_contig_1.1, whole genome shotgun sequence"
"GCF_000282735.1_ASM28273v1_genomic.fna","NZ_ALAC01000001.1","pseudomonas_syringae","syringae",0,0,126,5984971,104637,97.72,0.62,94.62,"Pseudomonas syringae pv. panici str. LMG 2367 Pseudomonassyringaepv.paniciContig_1, whole genome shotgun sequence"
"GCF_000282915.1_MWR44.1-1.0_genomic.fna","NZ_ALBW01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,54,6266909,393582,99.63,0.08,99.23,"Pseudomonas aeruginosa MRW44.1 contig00001, whole genome shotgun sequence"
"GCF_000282955.1_ASM28295v1_genomic.fna","NZ_ALJB01000001.1","pseudomonas_stutzeri","stutzeri",0,0,67,4647594,164111,99.85,0.83,95.7,"Pseudomonas stutzeri T13 contig000001, whole genome shotgun sequence"
"GCF_000284555.1_ASM28455v1_genomic.fna","NC_017549.1","pseudomonas_aeruginosa","aeruginosa",1,0,1,6764661,6764661,99.68,0.4,97.68,"Pseudomonas aeruginosa NCGM2.S1 chromosome 1, complete sequence"
"GCF_000285395.1_ASM28539v1_genomic.fna","NZ_CAED01000262.1","pseudomonas_putida","monteilii",1,0,262,5740939,41469,99.22,0.39,97.27,"Pseudomonas putida B001, whole genome shotgun sequence"
"GCF_000285955.1_ASM28595v1_genomic.fna","CADX01000090.1","pseudomonas_fluorescens","protegens",1,0,78,6854007,223800,99.15,0.72,95.55,"Pseudomonas fluorescens Wayne1, Velvet 0.7.55 (37nt assembly), WGS project CADX00000000 data, contig NODE_5612_length_106198_cov_19.744440, whole genome shotgun sequence"
"GCF_000287815.1_ASM28781v2_genomic.fna","NZ_ALBV02000235.1","pseudomonas_aeruginosa","aeruginosa",1,0,205,6040032,63467,99.67,0.08,99.27,"Pseudomonas aeruginosa N002 contig_235, whole genome shotgun sequence"
"GCF_000287875.1_AH16_genomic.fna","NZ_ALJH01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,130,6765326,94805,99.6,0.08,99.2,"Pseudomonas aeruginosa AH16 contig00001, whole genome shotgun sequence"
"GCF_000291745.1_ASM29174v1_genomic.fna","NZ_DF126593.1","pseudomonas_aeruginosa","aeruginosa",1,0,60,7051777,6910294,98.78,0.08,98.38,"Pseudomonas aeruginosa NCMG1179 strain NCGM1179, whole genome shotgun sequence"
"GCF_000296325.1_PAO579-1.0_genomic.fna","NZ_ALOF01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,9,6013638,1975737,99.68,0.08,99.28,"Pseudomonas aeruginosa PAO579 Contig01, whole genome shotgun sequence"
"GCF_000297075.2_Ppseudo_final_genomic.fna","NZ_HG916826.1","pseudomonas_pseudoalcaligenes","oleovorans_group",0,0,1,4686340,4686340,98.76,1.56,90.96,"Pseudomonas pseudoalcaligenes CECT 5344 complete genome"
"GCF_000297275.1_ASM29727v1_genomic.fna","NZ_AKZD01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,181,6366966,70107,99.68,0.08,99.28,"Pseudomonas aeruginosa ATCC 14886 Contig0001, whole genome shotgun sequence"
"GCF_000297335.1_ASM29733v1_genomic.fna","NZ_AKZG01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,145,6767129,96634,99.68,0.13,99.03,"Pseudomonas aeruginosa CI27 Contig0001, whole genome shotgun sequence"
"GCF_000297355.1_ASM29735v1_genomic.fna","NZ_AKZH01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,182,6351918,77529,99.68,0.08,99.28,"Pseudomonas aeruginosa E2 Contig0001, whole genome shotgun sequence"
"GCF_000302795.1_Pav013_1.0_genomic.fna","NZ_JH951825.1","pseudomonas_syringae","syringae",0,0,29,6059657,297716,97.45,0.56,94.65,"Pseudomonas syringae pv. avellanae str. ISPaVe013 Pav013_scaffold001, whole genome shotgun sequence"
"GCF_000302815.1_Pav037_1.0_genomic.fna","NZ_JH951862.1","pseudomonas_syringae","syringae",0,0,32,5879027,266240,97.71,0.67,94.36,"Pseudomonas syringae pv. avellanae str. ISPaVe037 Pav037_scaffold001, whole genome shotgun sequence"
"GCF_000302915.1_Pav631_1.0_genomic.fna","NZ_JH951446.1","pseudomonas_avellanae","avellanae",0,0,188,6591696,79356,94.02,0.19,93.07,"Pseudomonas avellanae BPIC 631 Pav631_scaffold001, whole genome shotgun sequence"
"GCF_000307715.1_PseVir1.0_genomic.fna","NZ_AMQP01000001.1","pseudomonas_viridiflava","viridiflava",0,0,200,5910580,48957,99.04,1.15,93.29,"Pseudomonas viridiflava UASWS0038 Contig001, whole genome shotgun sequence"
"GCF_000313235.1_PAMC26508ASM01_genomic.fna","NZ_AMXG01000001.1","pseudomonas_sp.","yamanorum",1,0,58,6771790,262823,100,0.28,98.6,"Pseudomonas sp. PAMC 26793 ctg7180000024620, whole genome shotgun sequence"
"GCF_000317185.3_M1_v2.0_genomic.fna","NZ_ANIR02000004.1","pseudomonas_sp.","citronellolis_group",1,0,4,6982428,4881728,99.68,2.41,87.63,"Pseudomonas sp. M1 PM1contig_004, whole genome shotgun sequence"
"GCF_000319815.1_Psalc341.0_genomic.fna","NZ_ANGB01000001.1","pseudomonas_chengduensis","alcaliphila_group",0,0,18,5428961,583285,99.46,0.96,94.66,"Pseudomonas chengduensis strain 34 IA, whole genome shotgun sequence"
"GCF_000331385.1_PSSB64v1.0_genomic.fna","NZ_CM001763.1","pseudomonas_syringae","syringae",0,0,1,5930035,5930035,100,0.67,96.65,"Pseudomonas syringae pv. syringae B64 chromosome, whole genome shotgun sequence"
"GCF_000334015.1_BRIP34879v2.0_genomic.fna","NZ_KB316322.1","pseudomonas_fluorescens","poae",1,0,88,5519423,150526,99.68,0.08,99.28,"Pseudomonas fluorescens BRIP34879 scaffold1, whole genome shotgun sequence"
"GCF_000334035.1_34876_v2.0_genomic.fna","NZ_KB316432.1","pseudomonas_syringae","syringae",0,0,77,6008315,231991,100,0.62,96.9,"Pseudomonas syringae BRIP34876 scaffold1, whole genome shotgun sequence"
"GCF_000334055.1_34881_v2.0_genomic.fna","NZ_KB316531.1","pseudomonas_syringae","syringae",0,0,72,6009341,299805,100,0.62,96.9,"Pseudomonas syringae BRIP34881 scaffold1, whole genome shotgun sequence"
"GCF_000336465.1_ASM33646v1_genomic.fna","NC_020209.1","pseudomonas_poae","poae",1,0,1,5512241,5512241,100,0.75,96.25,"Pseudomonas poae RE*1-1-14, complete genome"
"GCF_000341565.1_ASM34156v1_genomic.fna","NZ_CAQZ01000179.1","pseudomonas_aeruginosa","aeruginosa",1,0,179,6093587,63156,98.06,0.67,94.71,"Pseudomonas aeruginosa 18A, whole genome shotgun sequence"
"GCF_000342145.1_PA_21_ST175v1_genomic.fna","NZ_AOIH01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,78,6884889,278105,99.68,0.16,98.88,"Pseudomonas aeruginosa PA21_ST175 contig00001, whole genome shotgun sequence"
"GCF_000344335.2_ASM34433v2_genomic.fna","NZ_CP018202.1","pseudomonas_syringae","avellanae",0,0,3,6507519,6439609,100,1.15,94.25,"Pseudomonas syringae pv. actinidiae ICMP 9853, complete genome"
"GCF_000344355.2_ASM34435v2_genomic.fna","NZ_CP012179.1","pseudomonas_syringae","avellanae",0,0,2,6630003,6555571,100,0.19,99.05,"Pseudomonas syringae pv. actinidiae ICMP 18708 chromosome, complete genome"
"GCF_000344395.1_ICMP18804v1.0_genomic.fna","NZ_ANJE01000001.1","pseudomonas_syringae","avellanae",0,0,224,6242602,52055,99.95,0.63,96.8,"Pseudomonas syringae pv. actinidiae ICMP 18804 Contig001, whole genome shotgun sequence"
"GCF_000344415.1_ICMP18806v1.0_genomic.fna","NZ_ANJF01000001.1","pseudomonas_syringae","avellanae",0,0,236,6243939,41975,100,0.66,96.7,"Pseudomonas syringae pv. actinidifoliorum strain ICMP 18806 Contig001, whole genome shotgun sequence"
"GCF_000344475.3_ASM34447v3_genomic.fna","NZ_CP032631.1","pseudomonas_syringae","avellanae",0,0,2,6747342,6674594,100,0.14,99.3,"Pseudomonas syringae pv. actinidiae str. Shaanxi_M228 chromosome, complete genome"
"GCF_000344535.1_ICMP18807v1.0_genomic.fna","NZ_ANJL01000001.1","pseudomonas_syringae","avellanae",0,0,140,6123363,90248,99.87,0.52,97.27,"Pseudomonas syringae pv. actinidiae ICMP 18807 Contig001, whole genome shotgun sequence"
"GCF_000350565.1_P.ver1YdBTEX2v.1_genomic.fna","NZ_AOUH01000001.1","pseudomonas_veronii","panacis",1,0,62,6679713,229690,99.04,1.63,90.89,"Pseudomonas veronii 1YdBTEX2 Contig1, whole genome shotgun sequence"
"GCF_000359505.1_ASM35950v1_genomic.fna","NC_020912.1","pseudomonas_aeruginosa","aeruginosa",1,0,1,6421010,6421010,99.68,0.08,99.28,"Pseudomonas aeruginosa B136-33, complete genome"
"GCF_000359565.1_PA45_genomic.fna","NZ_APMD01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,124,6615955,220690,99.68,0.43,97.53,"Pseudomonas aeruginosa PA45 contig00001, whole genome shotgun sequence"
"GCF_000364625.1_ASM36462v1_genomic.fna","NZ_KB822599.1","pseudomonas_thermotolerans","thermotolerans",0,1,75,3752096,159554,98.08,1.2,92.08,"Pseudomonas thermotolerans DSM 14292 H165DRAFT_scaffold00001.1, whole genome shotgun sequence"
"GCF_000397205.1_ASM39720v1_genomic.fna","NC_021237.1","pseudomonas_protegens","protegens",1,1,1,6867980,6867980,99.68,0.72,96.08,"Pseudomonas protegens CHA0, complete genome"
"GCF_000404265.1_Pseu_aeru_PA14_V1_genomic.fna","NZ_KE136335.1","pseudomonas_aeruginosa","aeruginosa",1,0,4,6577083,5522862,99.68,0.08,99.28,"Pseudomonas aeruginosa PA14 acUKH-supercont1.1, whole genome shotgun sequence"
"GCF_000407905.1_Pseu_aeru_MSH-10_V1_genomic.fna","NZ_KE138672.1","pseudomonas_aeruginosa","aeruginosa",1,0,2,6497439,4180504,99.68,0.11,99.13,"Pseudomonas aeruginosa MSH-10 acUKG-supercont1.1, whole genome shotgun sequence"
"GCF_000408865.1_Pseu_aeru_PAK_V1_genomic.fna","NZ_KE137323.1","pseudomonas_aeruginosa","aeruginosa",1,0,1,6408825,6408825,99.68,0.08,99.28,"Pseudomonas aeruginosa PAK acUKM-supercont-complete, whole genome shotgun sequence"
"GCF_000408945.1_ASM40894v1_genomic.fna","NZ_APIO01000001.1","pseudomonas_sp.","umsongensis",0,0,223,7204561,71126,99.84,0.83,95.69,"Pseudomonas sp. G5(2012) strain G5 PG5_1, whole genome shotgun sequence"
"GCF_000411615.1_Pput2.5_genomic.fna","NZ_AMZE01000001.1","pseudomonas_putida","guariconensis",1,0,156,5211389,65433,99.6,0.25,98.35,"Pseudomonas putida MTCC 5279 strain MTCC5279 contig1, whole genome shotgun sequence"
"GCF_000412165.1_PSSSMv1.0_genomic.fna","NZ_CM001986.1","pseudomonas_syringae","syringae",0,0,2,6124102,6077542,100,0.77,96.15,"Pseudomonas syringae pv. syringae SM chromosome, whole genome shotgun sequence"
"GCF_000412395.1_E_2_genomic.fna","NZ_ASQV01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,261,6610016,52486,99.2,0.29,97.75,"Pseudomonas aeruginosa str. E2UoS strain E 2 contig001, whole genome shotgun sequence"
