sseqid,pident,qcovs,bitscore,qseqid,cleaned_filename,homologID,speciesID,genID,inputtedDelimID
107_FNTR01000007_01632,74.874,100,620,pao1_fabv,107_FNTR01000007,01632,proteolytica,FNTR01000007,proteolytica_01632
160_HS1_02567,75.126,100,619,pao1_fabv,160_HS1,02567,HS1,HS1,HS1_02567
115_PDJB01000001_01661,75.377,100,621,pao1_fabv,115_PDJB01000001,01661,lurida,PDJB01000001,lurida_01661
100_FOLS01000075_02935,84.635,99,713,pao1_fabv,100_FOLS01000075,02935,citronellolis,FOLS01000075,citronellolis_02935
66_KK211238_02478,58.987,98,458,pao1_fabv,66_KK211238,02478,mosselii,KK211238,mosselii_02478
124_JHYU01000001_03480,60.101,98,474,pao1_fabv,124_JHYU01000001,03480,fulva,JHYU01000001,fulva_03480
10_FOKB01000023_04855,74.874,100,619,pao1_fabv,10_FOKB01000023,04855,simiae,FOKB01000023,simiae_04855
122_FNKM01000002_05268,75.628,100,631,pao1_fabv,122_FNKM01000002,05268,grimontii,FNKM01000002,grimontii_05268
160_31A8_00431,60.101,98,474,pao1_fabv,160_31A8,00431,31A8,31A8,31A8_00431
134_021237_03339,79.093,99,664,pao1_fabv,134_021237,03339,protegens,021237,protegens_03339
29_NBAT01000012_03712,79.345,99,664,pao1_fabv,29_NBAT01000012,03712,chlororaphis,NBAT01000012,chlororaphis_03712
85_LT629793_01438,74.372,100,619,pao1_fabv,85_LT629793,01438,yamanorum,LT629793,yamanorum_01438
160_HS3_05494,100.0,100,815,pao1_fabv,160_HS3,05494,HS3,HS3,HS3_05494
14_LT629786_03376,75.126,100,619,pao1_fabv,14_LT629786,03376,synxantha,LT629786,synxantha_03376
148_AUEA01000001_01323,61.026,97,469,pao1_fabv,148_AUEA01000001,01323,cremoricolorata,AUEA01000001,cremoricolorata_01323
101_KE384450_00892,59.091,98,466,pao1_fabv,101_KE384450,00892,taiwanensis,KE384450,taiwanensis_00892
160_HS4_01385,100.0,100,815,pao1_fabv,160_HS4,01385,HS4,HS4,HS4_01385
160_82B1_02829,60.101,98,472,pao1_fabv,160_82B1,02829,82B1,82B1,82B1_02829
19_FNDG01000051_04979,60.606,98,489,pao1_fabv,19_FNDG01000051,04979,flavescens,FNDG01000051,flavescens_04979
35_LT629706_01559,75.126,100,618,pao1_fabv,35_LT629706,01559,poae,LT629706,poae_01559
40_FNEC01000101_04972,84.887,99,715,pao1_fabv,40_FNEC01000101,04972,delhiensis,FNEC01000101,delhiensis_04972
27_CP015600_01779,75.126,100,621,pao1_fabv,27_CP015600,01779,antarctica,CP015600,antarctica_01779
155_KE384443_03958,60.101,98,471,pao1_fabv,155_KE384443,03958,parafulva,KE384443,parafulva_03958
160_88B1_03321,60.354,98,474,pao1_fabv,160_88B1,03321,88B1,88B1,88B1_03321
73_FNTJ01000004_05300,79.093,99,664,pao1_fabv,73_FNTJ01000004,05300,saponiphila,FNTJ01000004,saponiphila_05300
6_LT629689_02799,75.628,100,625,pao1_fabv,6_LT629689,02799,extremaustralis,LT629689,extremaustralis_02799
53_LT629801_03204,75.628,100,629,pao1_fabv,53_LT629801,03204,rhodesiae,LT629801,rhodesiae_03204
79_LT629753_00782,75.628,100,624,pao1_fabv,79_LT629753,00782,cedrina,LT629753,cedrina_00782
109_LT629708_04950,75.879,100,622,pao1_fabv,109_LT629708,04950,extremorientalis,LT629708,extremorientalis_04950
113_FOEQ01000034_04171,59.241,98,462,pao1_fabv,113_FOEQ01000034,04171,soli,FOEQ01000034,soli_04171
76_LT629760_02742,75.628,100,622,pao1_fabv,76_LT629760,02742,trivialis,LT629760,trivialis_02742
160_HS5_03969,60.606,98,474,pao1_fabv,160_HS5,03969,HS5,HS5,HS5_03969
