Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
GCF_000621225.1_ASM62122v1_genomic	Pseudomonas (5)	182	833	312	2	818	13	0	0	0	99.60	1.00	0.00
GCF_000621245.1_ASM62124v1_genomic	Pseudomonas (5)	182	833	312	0	826	7	0	0	0	100.00	0.65	0.00
GCF_000621265.1_ASM62126v1_genomic	Pseudomonas (5)	182	833	312	0	831	2	0	0	0	100.00	0.11	0.00
GCF_000688275.1_ASM68827v1_genomic	Pseudomonas (5)	182	833	312	0	831	2	0	0	0	100.00	0.11	0.00
GCF_000689415.1_PKB13_genomic	Pseudomonas (5)	182	833	312	2	821	9	1	0	0	99.66	1.99	0.00
GCF_000730585.1_ASM73058v1_genomic	Pseudomonas (5)	182	833	312	2	822	9	0	0	0	99.36	1.41	0.00
GCF_000730625.1_ASM73062v1_genomic	Pseudomonas (5)	182	833	312	11	819	2	1	0	0	98.64	0.61	0.00
GCF_000731675.1_ASM73167v1_genomic	Pseudomonas (5)	182	833	312	0	829	4	0	0	0	100.00	0.28	0.00
GCF_000746525.1_ASM74652v1_genomic	Pseudomonas (5)	182	833	312	3	823	6	1	0	0	99.36	1.38	11.11
GCF_000759445.1_ASM75944v1_genomic	Pseudomonas (5)	182	833	312	1	830	2	0	0	0	99.92	0.16	0.00
GCF_000761155.1_ASM76115v1_genomic	Pseudomonas (5)	182	833	312	7	822	4	0	0	0	98.93	0.28	0.00
GCF_000806415.1_ASM80641v1_genomic	Pseudomonas (5)	182	833	312	10	815	8	0	0	0	98.02	1.16	12.50
GCF_000813265.1_ASM81326v1_genomic	Pseudomonas (5)	182	833	312	4	826	3	0	0	0	99.12	0.15	0.00
GCF_000818015.1_ASM81801v1_genomic	Pseudomonas (5)	182	833	312	11	809	13	0	0	0	98.93	0.97	0.00
GCF_000876035.1_ASM87603v1_genomic	Pseudomonas (5)	182	833	312	0	828	5	0	0	0	100.00	0.83	0.00
GCF_001043025.1_MG221_genomic	Pseudomonas (5)	182	833	312	2	826	5	0	0	0	99.84	0.63	0.00
GCF_001043055.1_MG339_genomic	Pseudomonas (5)	182	833	312	0	831	2	0	0	0	100.00	0.19	0.00
GCF_001293725.1_Psv4352_genomic	Pseudomonas (5)	182	833	312	0	830	3	0	0	0	100.00	0.13	0.00
GCF_001400515.1_PmlICMP6289_genomic	Pseudomonas (5)	182	833	312	4	828	1	0	0	0	99.16	0.08	0.00
GCF_001400735.1_PcaICMP2855_genomic	Pseudomonas (5)	182	833	312	0	831	2	0	0	0	100.00	0.19	0.00
GCF_001400815.1_PfiICMP7848_genomic	Pseudomonas (5)	182	833	312	9	821	3	0	0	0	98.83	0.46	66.67
GCF_001401075.1_PsyICMP3023_genomic	Pseudomonas (5)	182	833	312	2	827	4	0	0	0	99.76	0.88	0.00
GCF_001401155.1_PtrICMP9151_genomic	Pseudomonas (5)	182	833	312	1	817	15	0	0	0	99.68	2.45	53.33
GCF_001401215.1_PvrICMP2848_genomic	Pseudomonas (5)	182	833	312	0	829	4	0	0	0	100.00	0.26	25.00
GCF_001411475.1_ASM141147v1_genomic	Pseudomonas (5)	182	833	312	3	823	7	0	0	0	99.55	0.55	0.00
GCF_001543125.1_ASM154312v1_genomic	Pseudomonas (5)	182	833	312	0	823	10	0	0	0	100.00	0.76	0.00
GCF_001597285.1_ASM159728v1_genomic	Pseudomonas (5)	182	833	312	10	822	1	0	0	0	97.44	0.08	0.00
GCF_001647715.1_ASM164771v1_genomic	Pseudomonas (5)	182	833	312	0	828	5	0	0	0	100.00	0.61	0.00
GCF_001941865.1_ASM194186v1_genomic	Pseudomonas (5)	182	833	312	2	826	4	1	0	0	99.76	0.81	0.00
GCF_002068135.1_ASM206813v1_genomic	Pseudomonas (5)	182	833	312	2	830	1	0	0	0	99.57	0.08	0.00
GCF_002091775.1_ASM209177v1_genomic	Pseudomonas (5)	182	833	312	4	821	8	0	0	0	99.12	1.71	12.50
GCF_002095925.1_ASM209592v1_genomic	Pseudomonas (5)	182	833	312	1	829	3	0	0	0	99.68	0.48	0.00
GCF_002197985.1_ASM219798v1_genomic	Pseudomonas (5)	182	833	312	41	779	12	1	0	0	92.63	1.66	0.00
GCF_002307495.1_ASM230749v1_genomic	Pseudomonas (5)	182	833	312	47	771	14	1	0	0	92.38	1.99	0.00
GCF_002563895.1_ASM256389v1_genomic	Pseudomonas (5)	182	833	312	0	827	6	0	0	0	100.00	1.04	50.00
GCF_002813445.1_ASM281344v1_genomic	Pseudomonas (5)	182	833	312	0	827	6	0	0	0	100.00	1.14	16.67
GCF_002813455.1_ASM281345v1_genomic	Pseudomonas (5)	182	833	312	0	830	3	0	0	0	100.00	0.72	0.00
GCF_004365765.1_ASM436576v1_genomic	Pseudomonas (5)	182	833	312	0	831	2	0	0	0	100.00	0.40	0.00
GCF_900099645.1_IMG-taxon_2671180067_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	2	828	3	0	0	0	99.36	0.18	0.00
GCF_900099785.1_IMG-taxon_2663762770_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	3	821	8	1	0	0	99.36	1.26	18.18
GCF_900099945.1_IMG-taxon_2671180033_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	1	819	12	1	0	0	99.68	2.25	0.00
GCF_900100285.1_IMG-taxon_2663762782_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	5	823	5	0	0	0	98.61	0.75	0.00
GCF_900100365.1_IMG-taxon_2667527432_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	828	5	0	0	0	100.00	0.63	0.00
GCF_900100495.1_IMG-taxon_2663762779_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	3	815	15	0	0	0	99.04	1.83	6.67
GCF_900100535.1_IMG-taxon_2663762794_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	1	829	3	0	0	0	99.68	0.45	0.00
GCF_900101035.1_IMG-taxon_2636416169_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	832	1	0	0	0	100.00	0.08	0.00
GCF_900101085.1_IMG-taxon_2639762651_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	827	6	0	0	0	100.00	1.17	0.00
GCF_900101185.1_IMG-taxon_2636416191_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	1	823	9	0	0	0	99.68	0.99	55.56
GCF_900101415.1_IMG-taxon_2636416187_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	828	5	0	0	0	100.00	0.40	80.00
GCF_900102035.1_IMG-taxon_2667527225_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	814	19	0	0	0	100.00	1.70	0.00
GCF_900102045.1_IMG-taxon_2639762638_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	828	5	0	0	0	100.00	0.75	0.00
GCF_900102295.1_IMG-taxon_2639762509_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	831	2	0	0	0	100.00	0.19	0.00
GCF_900102335.1_IMG-taxon_2671180043_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	1	829	3	0	0	0	99.92	0.48	0.00
GCF_900102635.1_IMG-taxon_2663762777_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	1	829	3	0	0	0	99.84	0.27	0.00
GCF_900102665.1_IMG-taxon_2663763601_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	13	813	6	1	0	0	98.28	1.05	0.00
GCF_900102675.1_IMG-taxon_2663763604_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	1	829	3	0	0	0	99.68	0.27	33.33
GCF_900103225.1_IMG-taxon_2663762773_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	831	2	0	0	0	100.00	0.24	0.00
GCF_900103245.1_IMG-taxon_2639762602_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	822	10	1	0	0	100.00	1.47	69.23
GCF_900103345.1_IMG-taxon_2636416017_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	828	5	0	0	0	100.00	0.79	40.00
GCF_900103705.1_IMG-taxon_2639762560_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	829	4	0	0	0	100.00	0.37	0.00
GCF_900103845.1_IMG-taxon_2663762768_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	5	824	4	0	0	0	98.93	0.75	0.00
GCF_900103875.1_IMG-taxon_2636416065_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	830	2	1	0	0	100.00	0.43	20.00
GCF_900103965.1_IMG-taxon_2639762637_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	830	2	1	0	0	100.00	0.72	0.00
GCF_900104015.1_IMG-taxon_2667527209_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	831	2	0	0	0	100.00	0.40	0.00
GCF_900104125.1_IMG-taxon_2639762506_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	829	4	0	0	0	100.00	0.75	25.00
GCF_900104265.1_IMG-taxon_2663762796_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	1	830	2	0	0	0	99.84	0.11	0.00
GCF_900104365.1_IMG-taxon_2639762715_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	830	3	0	0	0	100.00	0.51	0.00
GCF_900104735.1_IMG-taxon_2636416176_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	829	4	0	0	0	100.00	0.27	0.00
GCF_900104805.1_IMG-taxon_2667527434_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	20	804	9	0	0	0	95.35	1.70	11.11
GCF_900104825.1_IMG-taxon_2639762632_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	2	826	5	0	0	0	99.87	0.28	0.00
GCF_900104875.1_IMG-taxon_2642422516_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	826	7	0	0	0	100.00	0.91	0.00
GCF_900104885.1_IMG-taxon_2639762577_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	829	4	0	0	0	100.00	0.32	0.00
GCF_900104905.1_IMG-taxon_2639762619_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	829	4	0	0	0	100.00	0.32	50.00
GCF_900104915.1_IMG-taxon_2636416193_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	825	8	0	0	0	100.00	0.80	50.00
GCF_900104945.1_IMG-taxon_2667527388_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	42	778	12	1	0	0	92.00	1.60	0.00
GCF_900105005.1_IMG-taxon_2667527220_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	58	762	12	1	0	0	89.77	1.70	0.00
GCF_900105115.1_IMG-taxon_2667527224_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	829	4	0	0	0	100.00	0.25	0.00
GCF_900105155.1_IMG-taxon_2663762789_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	831	2	0	0	0	100.00	0.40	0.00
GCF_900105185.1_IMG-taxon_2667528183_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	1	821	10	1	0	0	99.68	2.03	0.00
GCF_900105255.1_IMG-taxon_2675902958_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	38	784	11	0	0	0	93.33	1.74	0.00
GCF_900105285.1_IMG-taxon_2639762618_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	822	11	0	0	0	100.00	1.36	54.55
GCF_900105325.1_IMG-taxon_2639762561_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	1	828	3	1	0	0	99.92	1.04	0.00
GCF_900105355.1_IMG-taxon_2687453785_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	5	824	3	0	1	0	98.77	0.90	22.22
GCF_900105475.1_IMG-taxon_2667527430_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	1	827	5	0	0	0	99.96	0.78	0.00
GCF_900105485.1_IMG-taxon_2667527397_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	832	1	0	0	0	100.00	0.08	0.00
GCF_900105495.1_IMG-taxon_2636416079_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	1	827	5	0	0	0	99.68	0.26	60.00
GCF_900105555.1_IMG-taxon_2675903003_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	7	822	4	0	0	0	98.93	0.32	0.00
GCF_900105575.1_IMG-taxon_2639763190_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	823	10	0	0	0	100.00	1.30	0.00
GCF_900105635.1_IMG-taxon_2639762655_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	830	3	0	0	0	100.00	0.29	0.00
GCF_900105655.1_IMG-taxon_2667527386_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	51	767	15	0	0	0	89.46	2.08	0.00
GCF_900105675.1_IMG-taxon_2667527385_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	828	5	0	0	0	100.00	0.44	0.00
GCF_900105735.1_IMG-taxon_2667528168_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	830	3	0	0	0	100.00	0.35	0.00
GCF_900105795.1_IMG-taxon_2636416190_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	824	8	1	0	0	100.00	1.07	18.18
GCF_900105805.1_IMG-taxon_2639762633_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	830	3	0	0	0	100.00	0.72	66.67
GCF_900105815.1_IMG-taxon_2639762518_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	829	4	0	0	0	100.00	0.83	0.00
GCF_900105825.1_IMG-taxon_2667527228_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	828	5	0	0	0	100.00	0.61	0.00
GCF_900105835.1_IMG-taxon_2667527431_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	1	829	3	0	0	0	99.95	0.22	0.00
GCF_900105885.1_IMG-taxon_2667527223_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	33	791	8	1	0	0	93.27	1.04	0.00
GCF_900105935.1_IMG-taxon_2645728113_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	3	825	5	0	0	0	99.36	1.15	0.00
GCF_900105955.1_IMG-taxon_2639763197_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	822	11	0	0	0	100.00	1.04	72.73
GCF_900105975.1_IMG-taxon_2639762588_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	1	828	4	0	0	0	99.68	0.61	0.00
GCF_900105995.1_IMG-taxon_2667527387_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	39	790	4	0	0	0	93.47	0.58	0.00
GCF_900106005.1_IMG-taxon_2675902957_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	831	2	0	0	0	100.00	0.14	0.00
GCF_900106015.1_IMG-taxon_2667527235_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	2	825	6	0	0	0	99.79	0.39	16.67
GCF_900106025.1_IMG-taxon_2636416188_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	829	4	0	0	0	100.00	0.74	0.00
GCF_900106045.1_IMG-taxon_2667527233_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	828	5	0	0	0	100.00	0.50	0.00
GCF_900106065.1_IMG-taxon_2636416004_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	828	5	0	0	0	100.00	0.47	0.00
GCF_900106085.1_IMG-taxon_2639763195_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	1	831	1	0	0	0	99.68	0.08	0.00
GCF_900106095.1_IMG-taxon_2636416038_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	1	825	7	0	0	0	99.95	0.57	57.14
GCF_900106105.1_IMG-taxon_2636416189_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	1	830	2	0	0	0	99.95	0.19	0.00
GCF_900106975.1_IMG-taxon_2671180037_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	2	822	9	0	0	0	99.68	1.07	0.00
GCF_900107155.1_IMG-taxon_2663763605_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	829	4	0	0	0	100.00	0.53	0.00
GCF_900108535.1_IMG-taxon_2675902960_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	3	823	7	0	0	0	99.04	1.07	0.00
GCF_900108595.1_IMG-taxon_2667527230_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	3	827	3	0	0	0	99.83	0.43	0.00
GCF_900109155.1_IMG-taxon_2671180034_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	3	819	11	0	0	0	99.20	1.87	0.00
GCF_900109175.1_IMG-taxon_2663762776_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	21	793	17	2	0	0	95.46	2.50	13.04
GCF_900109735.1_IMG-taxon_2663763602_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	40	784	9	0	0	0	90.71	1.34	0.00
GCF_900110655.1_IMG-taxon_2663762771_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	1	828	4	0	0	0	99.68	0.32	0.00
GCF_900110795.1_IMG-taxon_2663762783_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	7	818	8	0	0	0	99.20	1.03	0.00
GCF_900110925.1_IMG-taxon_2663763600_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	1	822	10	0	0	0	99.89	0.59	0.00
GCF_900111225.1_IMG-taxon_2671180106_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	47	773	13	0	0	0	91.60	1.64	0.00
GCF_900111735.1_IMG-taxon_2671180035_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	831	2	0	0	0	100.00	0.11	0.00
GCF_900111835.1_IMG-taxon_2663762781_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	3	827	3	0	0	0	99.28	0.72	0.00
GCF_900111895.1_IMG-taxon_2663762772_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	831	2	0	0	0	100.00	0.40	0.00
GCF_900112375.1_IMG-taxon_2663762793_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	1	820	11	1	0	0	99.68	2.17	0.00
GCF_900112645.1_IMG-taxon_2663762767_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	1	831	1	0	0	0	99.68	0.08	0.00
GCF_900113745.1_IMG-taxon_2667527413_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	1	821	11	0	0	0	99.68	0.90	9.09
GCF_900113905.1_IMG-taxon_2671180085_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	827	6	0	0	0	100.00	0.49	0.00
GCF_900114065.1_IMG-taxon_2663763606_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	2	825	6	0	0	0	99.36	0.84	0.00
GCF_900114765.1_IMG-taxon_2663763599_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	45	774	14	0	0	0	92.50	1.60	0.00
GCF_900114825.1_IMG-taxon_2663762769_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	66	755	12	0	0	0	88.48	1.34	0.00
GCF_900115475.1_IMG-taxon_2663762774_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	1	826	6	0	0	0	99.84	0.71	0.00
GCF_900115555.1_IMG-taxon_2671180032_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	4	821	7	1	0	0	98.99	1.20	10.00
GCF_900115695.1_IMG-taxon_2663762766_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	2	829	2	0	0	0	99.78	0.11	0.00
GCF_900115715.1_IMG-taxon_2663762798_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	21	799	12	0	1	0	95.30	2.58	11.11
GCF_900115905.1_IMG-taxon_2663762775_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	59	760	14	0	0	0	89.83	1.58	0.00
GCF_900116605.1_IMG-taxon_2663763603_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	3	826	4	0	0	0	99.36	0.37	0.00
GCF_900141925.1_IMG-taxon_2663762797_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	7	822	4	0	0	0	99.20	1.04	0.00
GCF_900142655.1_IMG-taxon_2671180065_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	829	4	0	0	0	100.00	0.31	0.00
GCF_900143095.1_IMG-taxon_2663762795_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	830	3	0	0	0	100.00	0.25	0.00
GCF_900188155.1_IMG-taxon_2671180091_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	3	826	4	0	0	0	99.63	0.29	0.00
GCF_900188285.1_IMG-taxon_2671180175_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	1	825	7	0	0	0	99.98	1.47	0.00
GCF_900215245.1_IMG-taxon_2617270901_annotated_assembly_genomic	Pseudomonas (5)	182	833	312	0	827	6	0	0	0	100.00	0.85	0.00
