"","bID","Bin.Id","Marker.lineage","X..genomes","X..markers","X..marker.sets","X0","X1","X2","X3","X4","X5.","Completeness","Contamination","Strain.heterogeneity","description","id","refseqSpecies","source","species_code","cleaned_filename","contigs_greater_0_bp","contigs_greater_1000_bp","contigs_greater_5000_bp","contigs_greater_10000_bp","contigs_greater_25000_bp","contigs_greater_50000_bp","total_length_greater_0_bp","total_length_greater_1000_bp","total_length_greater_5000_bp","total_length_greater_10000_bp","total_length_greater_25000_bp","total_length_greater_50000_bp","total_contigs","largest_contig","total_length","N50","N75","L50","L75","number_Ns_per_100_kbp","species","genID","speciesID"
"11","GCF_000425625.1_ASM42562v1_genomic.fna","GCF_000425625.1_ASM42562v1_genomic","Pseudomonas (5)",182,833,312,3,820,10,0,0,0,99.04,1.35,0,"Pseudomonas azotifigens DSM 17556 H610DRAFT_scaffold00001.1, whole genome shotgun sequence","NZ_KE384407.1","pseudomonas_azotifigens","REFSEQ",55,"55_KE384407",59,59,55,52,40,32,5017423,5017423,5009091,4989361,4787299,4500398,59,420612,5017423,171594,84523,11,21,398.59,"azotifigens","KE384407","azotifigens"
"12","GCF_000425745.1_ASM42574v1_genomic.fna","GCF_000425745.1_ASM42574v1_genomic","Pseudomonas (5)",182,833,312,3,827,3,0,0,0,99.75,0.17,0,"Pseudomonas cremoricolorata DSM 17059 = NBRC 16634 strain DSM 17059 H618DRAFT_scaffold00001.1_C, whole genome shotgun sequence","NZ_AUEA01000001.1","pseudomonas_cremoricolorata","REFSEQ",148,"148_AUEA01000001",26,26,22,19,18,18,4655082,4655082,4648541,4630209,4613227,4613227,26,561759,4655082,416153,239423,5,9,28.25,"cremoricolorata","AUEA01000001","cremoricolorata"
"13","GCF_000425765.1_ASM42576v1_genomic.fna","GCF_000425765.1_ASM42576v1_genomic","Pseudomonas (5)",182,833,312,0,831,2,0,0,0,100,0.11,0,"Pseudomonas parafulva NBRC 16636 = DSM 17004 H619DRAFT_scaffold00001.1, whole genome shotgun sequence","NZ_KE384443.1","pseudomonas_parafulva","REFSEQ",155,"155_KE384443",32,32,29,28,23,20,4956622,4956622,4949869,4940580,4864295,4737306,32,990909,4956622,295916,175643,6,11,113.83,"parafulva","KE384443","parafulva"
"14","GCF_000425785.1_ASM42578v1_genomic.fna","GCF_000425785.1_ASM42578v1_genomic","Pseudomonas (5)",182,833,312,0,830,3,0,0,0,100,0.22,0,"Pseudomonas taiwanensis DSM 21245 H620DRAFT_scaffold00001.1, whole genome shotgun sequence","NZ_KE384450.1","pseudomonas_taiwanensis","REFSEQ",101,"101_KE384450",67,67,48,43,37,32,5415134,5415134,5382035,5347815,5239135,5008785,67,633911,5415134,174759,116039,10,19,44.25,"taiwanensis","KE384450","taiwanensis"
"15","GCF_000425805.1_ASM42580v1_genomic.fna","GCF_000425805.1_ASM42580v1_genomic","Pseudomonas (5)",182,833,312,0,826,7,0,0,0,100,1.04,0,"Pseudomonas vranovensis DSM 16006 H621DRAFT_scaffold00001.1_C, whole genome shotgun sequence","NZ_AUED01000001.1","pseudomonas_vranovensis","REFSEQ",8,"8_AUED01000001",36,36,30,29,24,19,5697807,5697807,5687282,5677827,5602490,5426026,36,769681,5697807,325087,223858,6,11,26.5,"vranovensis","AUED01000001","vranovensis"
"16","GCF_000444135.1_CLC6_0_3_genomic.fna","GCF_000444135.1_CLC6_0_3_genomic","Pseudomonas (5)",182,833,312,2,829,2,0,0,0,99.36,0.19,0,"Pseudomonas avellanae BPIC 631 contig1, whole genome shotgun sequence","NZ_ATDK01000001.1","pseudomonas_avellanae","REFSEQ",141,"141_ATDK01000001",611,432,251,171,75,17,5962738,5881546,5445445,4844030,3282493,1159572,498,92823,5928135,29502,14063,64,138,0,"avellanae","ATDK01000001","avellanae"
"17","GCF_000495915.1_PseChl_genomic.fna","GCF_000495915.1_PseChl_genomic","Pseudomonas (5)",182,833,312,21,768,43,1,0,0,95.03,5.42,86.96,"Pseudomonas chloritidismutans AW-1 Scaffold_10_Contig_1, whole genome shotgun sequence","NZ_AOFQ01000001.1","pseudomonas_chloritidismutans","REFSEQ",33,"33_AOFQ01000001",77,76,74,68,61,40,5056349,5055464,5049237,5007688,4898260,4096247,77,221301,5056349,103970,58772,18,35,0,"chloritidismutans","AOFQ01000001","chloritidismutans"
"18","GCF_000498575.2_MS-3_genomic.fna","GCF_000498575.2_MS-3_genomic","Pseudomonas (5)",182,833,312,3,816,14,0,0,0,99.25,1.85,14.29,"Pseudomonas taeanensis MS-3 contig_01, whole genome shotgun sequence","NZ_AWSQ01000001.1","pseudomonas_taeanensis","REFSEQ",102,"102_AWSQ01000001",18,18,14,13,12,12,5454863,5454863,5444856,5439257,5423889,5423889,18,1851393,5454863,1007976,485884,2,4,1.92,"taeanensis","AWSQ01000001","taeanensis"
"19","GCF_000621225.1_ASM62122v1_genomic.fna","GCF_000621225.1_ASM62122v1_genomic","Pseudomonas (5)",182,833,312,2,818,13,0,0,0,99.6,1,0,"Pseudomonas mosselii DSM 17497 Q380DRAFT_scaffold00001.1, whole genome shotgun sequence","NZ_KK211238.1","pseudomonas_mosselii","REFSEQ",66,"66_KK211238",55,55,49,44,36,30,6260844,6260844,6248219,6213719,6077511,5844638,55,633234,6260844,242165,127010,9,18,90.88,"mosselii","KK211238","mosselii"
"20","GCF_000621245.1_ASM62124v1_genomic.fna","GCF_000621245.1_ASM62124v1_genomic","Pseudomonas (5)",182,833,312,0,826,7,0,0,0,100,0.65,0,"Pseudomonas monteilii NBRC 103158 = DSM 14164 Q381DRAFT_scaffold00001.1_C, whole genome shotgun sequence","NZ_JHYV01000001.1","pseudomonas_monteilii","REFSEQ",106,"106_JHYV01000001",85,85,61,53,44,32,6308713,6308713,6249490,6191511,6057379,5612671,85,542100,6308713,204302,115717,10,20,4.52,"monteilii","JHYV01000001","monteilii"
"21","GCF_000621265.1_ASM62126v1_genomic.fna","GCF_000621265.1_ASM62126v1_genomic","Pseudomonas (5)",182,833,312,0,831,2,0,0,0,100,0.11,0,"Pseudomonas fulva NBRC 16637 = DSM 17717 Q382DRAFT_scaffold00001.1_C, whole genome shotgun sequence","NZ_JHYU01000001.1","pseudomonas_fulva","REFSEQ",124,"124_JHYU01000001",48,48,37,33,30,26,4770636,4770636,4736618,4707805,4659918,4483159,48,568280,4770636,178183,120154,8,16,93.95,"fulva","JHYU01000001","fulva"
"22","GCF_000688275.1_ASM68827v1_genomic.fna","GCF_000688275.1_ASM68827v1_genomic","Pseudomonas (5)",182,833,312,0,831,2,0,0,0,100,0.11,0,"Pseudomonas plecoglossicida NBRC 103162 = DSM 15088 Q378DRAFT_scaffold00001.1_C, whole genome shotgun sequence","NZ_JHYX01000001.1","pseudomonas_plecoglossicida","REFSEQ",149,"149_JHYX01000001",58,58,51,47,39,31,5347571,5347571,5330537,5304556,5168313,4871060,58,466409,5347571,172824,93122,10,20,0.56,"plecoglossicida","JHYX01000001","plecoglossicida"
"23","GCF_000689415.1_PKB13_genomic.fna","GCF_000689415.1_PKB13_genomic","Pseudomonas (5)",182,833,312,2,821,9,1,0,0,99.66,1.99,0,"Pseudomonas knackmussii B13 complete genome","NZ_HG322950.1","pseudomonas_knackmussii","REFSEQ",3,"3_HG322950",1,1,1,1,1,1,6162905,6162905,6162905,6162905,6162905,6162905,1,6162905,6162905,6162905,6162905,1,1,0,"knackmussii","HG322950","knackmussii"
"24","GCF_000730585.1_ASM73058v1_genomic.fna","GCF_000730585.1_ASM73058v1_genomic","Pseudomonas (5)",182,833,312,2,822,9,0,0,0,99.36,1.41,0,"Pseudomonas japonica NBRC 103040 = DSM 22348 strain NBRC 103040, whole genome shotgun sequence","NZ_BBIR01000162.1","pseudomonas_japonica","REFSEQ",34,"34_BBIR01000162",162,158,142,114,72,38,6663130,6660064,6618527,6400727,5728871,4556132,162,311301,6663130,88070,37512,19,49,0,"japonica","BBIR01000162","japonica"
"25","GCF_000730625.1_ASM73062v1_genomic.fna","GCF_000730625.1_ASM73062v1_genomic","Pseudomonas (5)",182,833,312,11,819,2,1,0,0,98.64,0.61,0,"Pseudomonas oryzihabitans NBRC 102199, whole genome shotgun sequence","NZ_BBIT01000034.1","pseudomonas_oryzihabitans","REFSEQ",83,"83_BBIT01000034",34,34,32,30,24,21,5027590,5027590,5025315,5012305,4910573,4812801,34,953810,5027590,433363,135345,4,9,0,"oryzihabitans","BBIT01000034","oryzihabitans"
"26","GCF_000731675.1_ASM73167v1_genomic.fna","GCF_000731675.1_ASM73167v1_genomic","Pseudomonas (5)",182,833,312,0,829,4,0,0,0,100,0.28,0,"Pseudomonas capeferrum strain WCS358 WCS358-Sc1, whole genome shotgun sequence","NZ_JMIT01000001.1","pseudomonas_capeferrum","REFSEQ",64,"64_JMIT01000001",8,8,8,7,6,6,5940443,5940443,5940443,5933998,5917291,5917291,8,2815361,5940443,1147469,980821,2,3,56.65,"capeferrum","JMIT01000001","capeferrum"
"27","GCF_000746525.1_ASM74652v1_genomic.fna","GCF_000746525.1_ASM74652v1_genomic","Pseudomonas (5)",182,833,312,3,823,6,1,0,0,99.36,1.38,11.11,"Pseudomonas alkylphenolica strain KL28 chromosome, complete genome","NZ_CP009048.1","pseudomonas_alkylphenolica","REFSEQ",56,"56_CP009048",1,1,1,1,1,1,5764622,5764622,5764622,5764622,5764622,5764622,1,5764622,5764622,5764622,5764622,1,1,0,"alkylphenolica","CP009048","alkylphenolica"
"28","GCF_000759445.1_ASM75944v1_genomic.fna","GCF_000759445.1_ASM75944v1_genomic","Pseudomonas (5)",182,833,312,1,830,2,0,0,0,99.92,0.16,0,"Pseudomonas lutea strain DSM 17257 Contig001, whole genome shotgun sequence","NZ_JRMB01000001.1","pseudomonas_lutea","REFSEQ",15,"15_JRMB01000001",5,5,5,5,5,5,5647497,5647497,5647497,5647497,5647497,5647497,5,2839280,5647497,2839280,1930416,1,2,0,"lutea","JRMB01000001","lutea"
"29","GCF_000761155.1_ASM76115v1_genomic.fna","GCF_000761155.1_ASM76115v1_genomic","Pseudomonas (5)",182,833,312,7,822,4,0,0,0,98.93,0.28,0,"Pseudomonas rhizosphaerae strain DSM 16299 chromosome, complete genome","NZ_CP009533.1","pseudomonas_rhizosphaerae","REFSEQ",99,"99_CP009533",1,1,1,1,1,1,4688635,4688635,4688635,4688635,4688635,4688635,1,4688635,4688635,4688635,4688635,1,1,0,"rhizosphaerae","CP009533","rhizosphaerae"
"30","GCF_000806415.1_ASM80641v1_genomic.fna","GCF_000806415.1_ASM80641v1_genomic","Pseudomonas (5)",182,833,312,10,815,8,0,0,0,98.02,1.16,12.5,"Pseudomonas flexibilis strain JCM 14085 PT85_1, whole genome shotgun sequence","NZ_JTAK01000001.1","pseudomonas_flexibilis","REFSEQ",62,"62_JTAK01000001",16,16,11,10,9,9,3748402,3748402,3736984,3731181,3715583,3715583,16,909522,3748402,680030,451025,3,4,0,"flexibilis","JTAK01000001","flexibilis"
"31","GCF_000813265.1_ASM81326v1_genomic.fna","GCF_000813265.1_ASM81326v1_genomic","Pseudomonas (5)",182,833,312,4,826,3,0,0,0,99.12,0.15,0,"Pseudomonas mendocina NBRC 14162, whole genome shotgun sequence","NZ_BBQC01000022.1","pseudomonas_mendocina","REFSEQ",133,"133_BBQC01000022",22,21,18,17,16,15,5124692,5124110,5117320,5111830,5095882,5065976,22,1022592,5124692,428844,299033,5,8,0,"mendocina","BBQC01000022","mendocina"
"32","GCF_000818015.1_ASM81801v1_genomic.fna","GCF_000818015.1_ASM81801v1_genomic","Pseudomonas (5)",182,833,312,11,809,13,0,0,0,98.93,0.97,0,"Pseudomonas balearica DSM 6083 strain DSM6083 (=SP1402) chromosome, complete genome","NZ_CP007511.1","pseudomonas_balearica","REFSEQ",80,"80_CP007511",1,1,1,1,1,1,4383480,4383480,4383480,4383480,4383480,4383480,1,4383480,4383480,4383480,4383480,1,1,0,"balearica","CP007511","balearica"
"33","GCF_000876035.1_ASM87603v1_genomic.fna","GCF_000876035.1_ASM87603v1_genomic","Pseudomonas (5)",182,833,312,0,828,5,0,0,0,100,0.83,0,"Pseudomonas abietaniphila strain KF717, whole genome shotgun sequence","NZ_BBQR01000097.1","pseudomonas_abietaniphila","REFSEQ",13,"13_BBQR01000097",97,83,68,61,51,33,6930016,6920371,6889091,6835594,6682270,5993272,97,646743,6930016,207988,119972,12,23,0,"abietaniphila","BBQR01000097","abietaniphila"
"34","GCF_001043025.1_MG221_genomic.fna","GCF_001043025.1_MG221_genomic","Pseudomonas (5)",182,833,312,2,826,5,0,0,0,99.84,0.63,0,"Pseudomonas helleri strain DSM 29165 10_220866_45.2889, whole genome shotgun sequence","NZ_JYLD01000010.1","pseudomonas_helleri","REFSEQ",32,"32_JYLD01000010",37,36,30,28,25,23,5676287,5675733,5664106,5649589,5606432,5521271,37,623802,5676287,336668,166604,6,12,0,"helleri","JYLD01000010","helleri"
"35","GCF_001043055.1_MG339_genomic.fna","GCF_001043055.1_MG339_genomic","Pseudomonas (5)",182,833,312,0,831,2,0,0,0,100,0.19,0,"Pseudomonas weihenstephanensis strain DSM 29166 10_154467_40.591, whole genome shotgun sequence","NZ_JYLF01000010.1","pseudomonas_weihenstephanensis","REFSEQ",42,"42_JYLF01000010",32,24,16,15,13,13,4792107,4786022,4770225,4764426,4738763,4738763,32,855826,4792107,571018,258145,4,7,0,"weihenstephanensis","JYLF01000010","weihenstephanensis"
"36","GCF_001293725.1_Psv4352_genomic.fna","GCF_001293725.1_Psv4352_genomic","Pseudomonas (5)",182,833,312,0,830,3,0,0,0,100,0.13,0,"Pseudomonas savastanoi strain 4352 Psv4352_Scaffold004, whole genome shotgun sequence","NZ_LGKR01000034.1","pseudomonas_savastanoi","REFSEQ",20,"20_LGKR01000034",121,107,83,64,52,34,6057669,6050557,5988103,5841420,5656241,5004778,113,397303,6055070,171697,60666,11,26,1556.08,"savastanoi","LGKR01000034","savastanoi"
"37","GCF_001400515.1_PmlICMP6289_genomic.fna","GCF_001400515.1_PmlICMP6289_genomic","Pseudomonas (5)",182,833,312,4,828,1,0,0,0,99.16,0.08,0,"Pseudomonas meliae strain ICMP 6289 PmlICMP6289_Contig_1, whole genome shotgun sequence","NZ_LJQT01000414.1","pseudomonas_meliae","REFSEQ",18,"18_LJQT01000414",504,378,236,165,71,11,5097969,5033649,4663886,4132470,2641260,627282,435,66928,5075866,25708,12435,67,137,90.45,"meliae","LJQT01000414","meliae"
"38","GCF_001400735.1_PcaICMP2855_genomic.fna","GCF_001400735.1_PcaICMP2855_genomic","Pseudomonas (5)",182,833,312,0,831,2,0,0,0,100,0.19,0,"Pseudomonas caricapapayae strain ICMP 2855 PcaICMP2855_Contig_1, whole genome shotgun sequence","NZ_LJPW01000012.1","pseudomonas_caricapapayae","REFSEQ",51,"51_LJPW01000012",193,159,131,113,76,45,6257670,6244177,6171865,6034587,5414214,4335239,169,227563,6250381,78662,40649,26,53,2.45,"caricapapayae","LJPW01000012","caricapapayae"
"39","GCF_001400815.1_PfiICMP7848_genomic.fna","GCF_001400815.1_PfiICMP7848_genomic","Pseudomonas (5)",182,833,312,9,821,3,0,0,0,98.83,0.46,66.67,"Pseudomonas ficuserectae strain ICMP 7848 PfiICMP7848_Contig_1, whole genome shotgun sequence","NZ_LJQJ01000543.1","pseudomonas_ficuserectae","REFSEQ",128,"128_LJQJ01000543",624,522,330,191,49,6,5655086,5597354,5095326,4071433,1791755,381571,578,92007,5640651,18060,9209,99,208,247.93,"ficuserectae","LJQJ01000543","ficuserectae"
"40","GCF_001401075.1_PsyICMP3023_genomic.fna","GCF_001401075.1_PsyICMP3023_genomic","Pseudomonas (5)",182,833,312,2,827,4,0,0,0,99.76,0.88,0,"Pseudomonas syringae pv. syringae strain ICMP 3023 PsyICMP3023_Contig_1, whole genome shotgun sequence","NZ_LJRK01000151.1","pseudomonas_syringae","REFSEQ",143,"143_LJRK01000151",179,149,124,110,75,44,6073080,6060396,5986626,5887636,5333048,4197919,156,200069,6065539,76745,42536,26,52,2.26,"syringae","LJRK01000151","syringae"
"41","GCF_001401155.1_PtrICMP9151_genomic.fna","GCF_001401155.1_PtrICMP9151_genomic","Pseudomonas (5)",182,833,312,1,817,15,0,0,0,99.68,2.45,53.33,"Pseudomonas tremae strain ICMP 9151 PtrICMP9151_Contig_1, whole genome shotgun sequence","NZ_LJRO01000117.1","pseudomonas_tremae","REFSEQ",118,"118_LJRO01000117",510,110,66,59,50,39,5929145,5751454,5654860,5603540,5471180,5072231,225,364705,5827046,140769,73135,14,28,3.31,"tremae","LJRO01000117","tremae"
"42","GCF_001401215.1_PvrICMP2848_genomic.fna","GCF_001401215.1_PvrICMP2848_genomic","Pseudomonas (5)",182,833,312,0,829,4,0,0,0,100,0.26,25,"Pseudomonas viridiflava strain ICMP 2848 PvrICMP2848_Contig_1, whole genome shotgun sequence","NZ_LJRS01000098.1","pseudomonas_viridiflava","REFSEQ",16,"16_LJRS01000098",254,219,177,143,82,29,5902031,5885911,5773413,5524642,4515531,2557962,232,168041,5894289,45266,26922,38,79,20.46,"viridiflava","LJRS01000098","viridiflava"
"43","GCF_001411475.1_ASM141147v1_genomic.fna","GCF_001411475.1_ASM141147v1_genomic","Pseudomonas (5)",182,833,312,3,823,7,0,0,0,99.55,0.55,0,"Pseudomonas endophytica strain BSTT44 contig_1, whole genome shotgun sequence","NZ_LLWH01000001.1","pseudomonas_endophytica","REFSEQ",68,"68_LLWH01000001",241,233,177,139,64,18,4973838,4967615,4806147,4524209,3344803,1748937,241,212307,4973838,35704,18789,36,82,0,"endophytica","LLWH01000001","endophytica"
"44","GCF_001543125.1_ASM154312v1_genomic.fna","GCF_001543125.1_ASM154312v1_genomic","Pseudomonas (5)",182,833,312,0,823,10,0,0,0,100,0.76,0,"Pseudomonas agarici strain NCPPB 2472 genome","NZ_CP014135.1","pseudomonas_agarici","REFSEQ",139,"139_CP014135",1,1,1,1,1,1,5502003,5502003,5502003,5502003,5502003,5502003,1,5502003,5502003,5502003,5502003,1,1,166.59,"agarici","CP014135","agarici"
"45","GCF_001597285.1_ASM159728v1_genomic.fna","GCF_001597285.1_ASM159728v1_genomic","Pseudomonas (5)",182,833,312,10,822,1,0,0,0,97.44,0.08,0,"Pseudomonas alcaligenes strain NEB 585, complete genome","NZ_CP014784.1","pseudomonas_alcaligenes","REFSEQ",84,"84_CP014784",1,1,1,1,1,1,4406305,4406305,4406305,4406305,4406305,4406305,1,4406305,4406305,4406305,4406305,1,1,0,"alcaligenes","CP014784","alcaligenes"
"46","GCF_001647715.1_ASM164771v1_genomic.fna","GCF_001647715.1_ASM164771v1_genomic","Pseudomonas (5)",182,833,312,0,828,5,0,0,0,100,0.61,0,"Pseudomonas antarctica strain PAMC 27494 chromosome, complete genome","NZ_CP015600.1","pseudomonas_antarctica","REFSEQ",27,"27_CP015600",3,3,3,3,3,2,6607040,6607040,6607040,6607040,6607040,6576924,3,6441449,6607040,6441449,6441449,1,1,0,"antarctica","CP015600","antarctica"
"47","GCF_001941865.1_ASM194186v1_genomic.fna","GCF_001941865.1_ASM194186v1_genomic","Pseudomonas (5)",182,833,312,2,826,4,1,0,0,99.76,0.81,0,"Pseudomonas alcaliphila JAB1 chromosome, complete genome","NZ_CP016162.1","pseudomonas_alcaliphila","REFSEQ",104,"104_CP016162",1,1,1,1,1,1,5340293,5340293,5340293,5340293,5340293,5340293,1,5340293,5340293,5340293,5340293,1,1,0,"alcaliphila","CP016162","alcaliphila"
"48","GCF_002068135.1_ASM206813v1_genomic.fna","GCF_002068135.1_ASM206813v1_genomic","Pseudomonas (5)",182,833,312,2,830,1,0,0,0,99.57,0.08,0,"Pseudomonas amygdali pv. lachrymans strain NM002 chromosome, complete genome","NZ_CP020351.1","pseudomonas_amygdali","REFSEQ",50,"50_CP020351",1,1,1,1,1,1,6009235,6009235,6009235,6009235,6009235,6009235,1,6009235,6009235,6009235,6009235,1,1,0,"amygdali","CP020351","amygdali"
"49","GCF_002091775.1_ASM209177v1_genomic.fna","GCF_002091775.1_ASM209177v1_genomic","Pseudomonas (5)",182,833,312,4,821,8,0,0,0,99.12,1.71,12.5,"Pseudomonas pseudoalcaligenes NBRC 14167, whole genome shotgun sequence","NZ_BDAJ01000001.1","pseudomonas_pseudoalcaligenes","REFSEQ",78,"78_BDAJ01000001",204,184,136,112,64,32,4702414,4687694,4566249,4387513,3609652,2464134,204,152968,4702414,53275,26410,30,61,0,"pseudoalcaligenes","BDAJ01000001","pseudoalcaligenes"
"50","GCF_002095925.1_ASM209592v1_genomic.fna","GCF_002095925.1_ASM209592v1_genomic","Pseudomonas (5)",182,833,312,1,829,3,0,0,0,99.68,0.48,0,"Pseudomonas chlororaphis subsp. chlororaphis strain ATCC 9446 Pseudomonas_chlororaphis_0.0.0.1001571, whole genome shotgun sequence","NZ_NBAT01000012.1","pseudomonas_chlororaphis","REFSEQ",29,"29_NBAT01000012",35,29,27,24,20,19,6783030,6779716,6775570,6754191,6693434,6657553,31,1001572,6781322,472445,303713,5,9,0,"chlororaphis","NBAT01000012","chlororaphis"
"51","GCF_002197985.1_ASM219798v1_genomic.fna","GCF_002197985.1_ASM219798v1_genomic","Pseudomonas (5)",182,833,312,41,779,12,1,0,0,92.63,1.66,0,"Pseudomonas aestusnigri strain VGXO14 scaffold00001, whole genome shotgun sequence","NZ_NBYK01000001.1","pseudomonas_aestusnigri","REFSEQ",4,"4_NBYK01000001",30,30,29,23,21,17,3829769,3829769,3827356,3781955,3742671,3605895,30,867618,3829769,316895,132902,4,10,337.44,"aestusnigri","NBYK01000001","aestusnigri"
"52","GCF_002307495.1_ASM230749v1_genomic.fna","GCF_002307495.1_ASM230749v1_genomic","Pseudomonas (5)",182,833,312,47,771,14,1,0,0,92.38,1.99,0,"Pseudomonas abyssi strain MT5 contig1, whole genome shotgun sequence","NZ_NTMR01000001.1","pseudomonas_abyssi","REFSEQ",86,"86_NTMR01000001",79,61,44,33,25,21,4322744,4312793,4270802,4191247,4044569,3914673,70,473601,4319339,236029,109619,7,13,0,"abyssi","NTMR01000001","abyssi"
